sequence_id,len,trans_len,gest_len,prop,prop_trunc
SEQ_000927,75,60,15,0.2,0.133928571428571
SEQ_001295,75,64,11,0.146666666666667,0.0982142857142857
SEQ_003987,215,204,11,0.0511627906976744,0.0982142857142857
SEQ_009199,29,9,20,0.689655172413793,0.178571428571429
SEQ_009568,70,62,8,0.114285714285714,0.0714285714285714
SEQ_010353,237,230,7,0.029535864978903,0.0625
SEQ_010608,48,32,16,0.333333333333333,0.142857142857143
SEQ_011050,54,34,20,0.37037037037037,0.178571428571429
SEQ_011377,78,67,11,0.141025641025641,0.0982142857142857
SEQ_011975,84,84,0,0,0
SEQ_015203,40,21,19,0.475,0.169642857142857
SEQ_015497,42,24,18,0.428571428571429,0.160714285714286
SEQ_020957,72,65,7,0.0972222222222222,0.0625
SEQ_021354,46,24,22,0.478260869565217,0.196428571428571
SEQ_023257,78,64,14,0.17948717948718,0.125
SEQ_025399,78,65,13,0.166666666666667,0.116071428571429
SEQ_025621,88,78,10,0.113636363636364,0.0892857142857143
SEQ_026138,43,39,4,0.0930232558139535,0.0357142857142857
SEQ_030950,79,69,10,0.126582278481013,0.0892857142857143
SEQ_033029,81,72,9,0.111111111111111,0.0803571428571429
SEQ_038134,228,208,20,0.087719298245614,0.178571428571429
SEQ_039092,55,35,20,0.363636363636364,0.178571428571429
SEQ_039151,111,99,12,0.108108108108108,0.107142857142857
SEQ_039289,52,49,3,0.0576923076923077,0.0267857142857143
SEQ_041144,102,91,11,0.107843137254902,0.0982142857142857
SEQ_041180,70,62,8,0.114285714285714,0.0714285714285714
SEQ_041677,55,41,14,0.254545454545455,0.125
SEQ_046411,50,41,9,0.18,0.0803571428571429
SEQ_046549,39,25,14,0.358974358974359,0.125
SEQ_047875,72,67,5,0.0694444444444445,0.0446428571428571
SEQ_048076,68,52,16,0.235294117647059,0.142857142857143
SEQ_048203,82,74,8,0.0975609756097561,0.0714285714285714
SEQ_048597,42,22,20,0.476190476190476,0.178571428571429
SEQ_048962,210,197,13,0.0619047619047619,0.116071428571429
SEQ_052781,38,22,16,0.421052631578947,0.142857142857143
SEQ_052982,69,59,10,0.144927536231884,0.0892857142857143
SEQ_055621,133,120,13,0.0977443609022556,0.116071428571429
SEQ_055845,53,42,11,0.207547169811321,0.0982142857142857
SEQ_056389,72,65,7,0.0972222222222222,0.0625
SEQ_057033,73,67,6,0.0821917808219178,0.0535714285714286
SEQ_059324,40,33,7,0.175,0.0625
SEQ_060431,233,223,10,0.0429184549356223,0.0892857142857143
